SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Total,Ireland,Transportation and storage,2018,Euro,4333
Total,Ireland,Transportation and storage,2018,Purchasing power standard (PPS),3266
Total,Ireland,Accommodation and food service activities,2018,Euro,2233
Total,Ireland,Accommodation and food service activities,2018,Purchasing power standard (PPS),1683
Total,Ireland,Information and communication,2018,Euro,5955
Total,Ireland,Information and communication,2018,Purchasing power standard (PPS),4487
Total,Ireland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,4638
Total,Ireland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3495
Total,Ireland,Financial and insurance activities,2018,Euro,5319
Total,Ireland,Financial and insurance activities,2018,Purchasing power standard (PPS),4009
Total,Ireland,Real estate activities,2018,Euro,4873
Total,Ireland,Real estate activities,2018,Purchasing power standard (PPS),3672
Total,Ireland,Professional scientific and technical activities,2018,Euro,4742
Total,Ireland,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3574
Total,Ireland,Administrative and support service activities,2018,Euro,3555
Total,Ireland,Administrative and support service activities,2018,Purchasing power standard (PPS),2679
Total,Ireland,Public administration and defence; compulsory social security,2018,Euro,4393
Total,Ireland,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3310
Total,Ireland,Education,2018,Euro,4682
Total,Ireland,Education,2018,Purchasing power standard (PPS),3528
Total,Ireland,Human health and social work activities,2018,Euro,4121
Total,Ireland,Human health and social work activities,2018,Purchasing power standard (PPS),3106
Total,Ireland,Arts entertainment and recreation,2018,Euro,3126
Total,Ireland,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2356
Total,Ireland,Other service activities,2018,Euro,3669
Total,Ireland,Other service activities,2018,Purchasing power standard (PPS),2765
Total,Greece,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Total,Greece,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Total,Greece,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1921
Total,Greece,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2220
Total,Greece,Business economy,2018,Euro,2022
Total,Greece,Business economy,2018,Purchasing power standard (PPS),2337
Total,Greece,Industry and construction,2018,Euro,1983
Total,Greece,Industry and construction,2018,Purchasing power standard (PPS),2292
Total,Greece,Industry (except construction),2018,Euro,2000
Total,Greece,Industry (except construction),2018,Purchasing power standard (PPS),2312
Total,Greece,Mining and quarrying,2018,Euro,2642
Total,Greece,Mining and quarrying,2018,Purchasing power standard (PPS),3053
Total,Greece,Manufacturing,2018,Euro,1969
Total,Greece,Manufacturing,2018,Purchasing power standard (PPS),2276
Total,Greece,Electricity gas steam and air conditioning supply,2018,Euro,2435
Total,Greece,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),2814
Total,Greece,Water supply; sewerage waste management and remediation activities,2018,Euro,2209
Total,Greece,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2553
Total,Greece,Construction,2018,Euro,1887
Total,Greece,Construction,2018,Purchasing power standard (PPS),2181
Total,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Total,Greece,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Total,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1912
Total,Greece,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2210
Total,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1861
Total,Greece,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2151
Total,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1692
Total,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),1955
Total,Greece,Transportation and storage,2018,Euro,2897
Total,Greece,Transportation and storage,2018,Purchasing power standard (PPS),3348
Total,Greece,Accommodation and food service activities,2018,Euro,1536
Total,Greece,Accommodation and food service activities,2018,Purchasing power standard (PPS),1775
Total,Greece,Information and communication,2018,Euro,2007
Total,Greece,Information and communication,2018,Purchasing power standard (PPS),2319
Total,Greece,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2342
Total,Greece,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2707
Total,Greece,Financial and insurance activities,2018,Euro,2757
Total,Greece,Financial and insurance activities,2018,Purchasing power standard (PPS),3186
Total,Greece,Real estate activities,2018,Euro,1887
Total,Greece,Real estate activities,2018,Purchasing power standard (PPS),2181
Total,Greece,Professional scientific and technical activities,2018,Euro,2399
Total,Greece,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2772
Total,Greece,Administrative and support service activities,2018,Euro,1505
Total,Greece,Administrative and support service activities,2018,Purchasing power standard (PPS),1740
Total,Greece,Public administration and defence; compulsory social security,2018,Euro,0
Total,Greece,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Total,Greece,Education,2018,Euro,1791
Total,Greece,Education,2018,Purchasing power standard (PPS),2070
Total,Greece,Human health and social work activities,2018,Euro,1916
Total,Greece,Human health and social work activities,2018,Purchasing power standard (PPS),2214
Total,Greece,Arts entertainment and recreation,2018,Euro,1422
Total,Greece,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1643
Total,Greece,Other service activities,2018,Euro,1505
Total,Greece,Other service activities,2018,Purchasing power standard (PPS),1739
Total,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2657
Total,Spain,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2776
Total,Spain,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2660
Total,Spain,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2778
