SEX,GEO,SIZECLAS,Value
Total,Malta,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2162
Total,Malta,Financial and insurance activities,2776
Total,Malta,Real estate activities,2294
Total,Malta,Professional scientific and technical activities,2538
Total,Malta,Administrative and support service activities,1736
Total,Malta,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2199
Total,Malta,Public administration and defence; compulsory social security2132
Total,Malta,Education; human health and social work activities; arts entertainment and recreation; other service activities,2218
Total,Malta,Education,1984
Total,Malta,Human health and social work activities,2338
Total,Malta,Arts entertainment and recreation,2649
Total,Malta,Other service activities,1874
Total,Netherlands,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3130
Total,Netherlands,Industry construction and services (except public administration defense compulsory social security),3076
Total,Netherlands,Business economy,3026
Total,Netherlands,Industry and construction,3587
Total,Netherlands,Industry (except construction),3526
Total,Netherlands,Mining and quarrying,5456
Total,Netherlands,Manufacturing,3464
Total,Netherlands,Electricity gas steam and air conditioning supply,4586
Total,Netherlands,Water supply; sewerage waste management and remediation activities,3584
Total,Netherlands,Construction,3769
Total,Netherlands,Services (except activities of households as employers and extra-territorial organisations and bodies),3053
Total,Netherlands,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2982
Total,Netherlands,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2719
Total,Netherlands,Wholesale and retail trade; repair of motor vehicles and motorcycles,2456
Total,Netherlands,Transportation and storage,3316
Total,Netherlands,Accommodation and food service activities,1848
Total,Netherlands,Information and communication,4139
Total,Netherlands,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3052
Total,Netherlands,Financial and insurance activities,4903
Total,Netherlands,Real estate activities,3805
Total,Netherlands,Professional scientific and technical activities,4140
Total,Netherlands,Administrative and support service activities,2348
Total,Netherlands,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3325
Total,Netherlands,Public administration and defence; compulsory social security3819
Total,Netherlands,Education; human health and social work activities; arts entertainment and recreation; other service activities,3194
