"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5 174"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 655"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5 148"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 637"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","5 717"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 039"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","5 530"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","3 907"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","6 562"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","4 636"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","3 483"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 461"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","6 354"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 489"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","5 781"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","4 084"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","6 939"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","4 902"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","5 555"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","3 925"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","6 385"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","4 511"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","4 347"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 071"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4 814"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 401"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","5 449"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","3 850"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4 712"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 329"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","4 925"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","3 479"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","4 548"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","3 213"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","4 455"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","3 147"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","5 712"
"Total","Denmark","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","4 035"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4 942"
"Total","Germany (until 1990 former territory of the FRG)","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","4 626"
